x,y,V_num,V_exact
  6.06060606E-02,  3.03030303E-02,  1.00183834E+00,  1.00183823E+00
  1.21212121E-01,  3.03030303E-02,  1.00368007E+00,  1.00367985E+00
  1.81818182E-01,  3.03030303E-02,  1.00552518E+00,  1.00552485E+00
  2.42424242E-01,  3.03030303E-02,  1.00737368E+00,  1.00737324E+00
  3.03030303E-01,  3.03030303E-02,  1.00922560E+00,  1.00922503E+00
  3.63636364E-01,  3.03030303E-02,  1.01108092E+00,  1.01108022E+00
  4.24242424E-01,  3.03030303E-02,  1.01293967E+00,  1.01293882E+00
  4.84848485E-01,  3.03030303E-02,  1.01480185E+00,  1.01480084E+00
  5.45454545E-01,  3.03030303E-02,  1.01666747E+00,  1.01666628E+00
  6.06060606E-01,  3.03030303E-02,  1.01853654E+00,  1.01853516E+00
  6.66666667E-01,  3.03030303E-02,  1.02040908E+00,  1.02040746E+00
  7.27272727E-01,  3.03030303E-02,  1.02228509E+00,  1.02228321E+00
  7.87878788E-01,  3.03030303E-02,  1.02416458E+00,  1.02416241E+00
  8.48484848E-01,  3.03030303E-02,  1.02604756E+00,  1.02604506E+00
  9.09090909E-01,  3.03030303E-02,  1.02793404E+00,  1.02793117E+00
  9.69696970E-01,  3.03030303E-02,  1.02982403E+00,  1.02982075E+00
  1.03030303E+00,  3.03030303E-02,  1.03171754E+00,  1.03171380E+00
  1.09090909E+00,  3.03030303E-02,  1.03361457E+00,  1.03361033E+00
  1.15151515E+00,  3.03030303E-02,  1.03551512E+00,  1.03551035E+00
  1.21212121E+00,  3.03030303E-02,  1.03741919E+00,  1.03741386E+00
  1.27272727E+00,  3.03030303E-02,  1.03932679E+00,  1.03932087E+00
  1.33333333E+00,  3.03030303E-02,  1.04123791E+00,  1.04123139E+00
  1.39393939E+00,  3.03030303E-02,  1.04315252E+00,  1.04314542E+00
  1.45454545E+00,  3.03030303E-02,  1.04507062E+00,  1.04506296E+00
  1.51515152E+00,  3.03030303E-02,  1.04699218E+00,  1.04698403E+00
  1.57575758E+00,  3.03030303E-02,  1.04891716E+00,  1.04890864E+00
  1.63636364E+00,  3.03030303E-02,  1.05084552E+00,  1.05083678E+00
  1.69696970E+00,  3.03030303E-02,  1.05277719E+00,  1.05276846E+00
  1.75757576E+00,  3.03030303E-02,  1.05471210E+00,  1.05470370E+00
  1.81818182E+00,  3.03030303E-02,  1.05665012E+00,  1.05664249E+00
  1.87878788E+00,  3.03030303E-02,  1.05859110E+00,  1.05858485E+00
  1.93939394E+00,  3.03030303E-02,  1.06053474E+00,  1.06053077E+00
  6.06060606E-02,  6.06060606E-02,  1.00368006E+00,  1.00367985E+00
  1.21212121E-01,  6.06060606E-02,  1.00737367E+00,  1.00737324E+00
  1.81818182E-01,  6.06060606E-02,  1.01108088E+00,  1.01108022E+00
  2.42424242E-01,  6.06060606E-02,  1.01480173E+00,  1.01480084E+00
  3.03030303E-01,  6.06060606E-02,  1.01853629E+00,  1.01853516E+00
  3.63636364E-01,  6.06060606E-02,  1.02228461E+00,  1.02228321E+00
  4.24242424E-01,  6.06060606E-02,  1.02604675E+00,  1.02604506E+00
  4.84848485E-01,  6.06060606E-02,  1.02982275E+00,  1.02982075E+00
  5.45454545E-01,  6.06060606E-02,  1.03361270E+00,  1.03361033E+00
  6.06060606E-01,  6.06060606E-02,  1.03741663E+00,  1.03741386E+00
  6.66666667E-01,  6.06060606E-02,  1.04123460E+00,  1.04123139E+00
  7.27272727E-01,  6.06060606E-02,  1.04506669E+00,  1.04506296E+00
  7.87878788E-01,  6.06060606E-02,  1.04891294E+00,  1.04890864E+00
  8.48484848E-01,  6.06060606E-02,  1.05277342E+00,  1.05276846E+00
  9.09090909E-01,  6.06060606E-02,  1.05664817E+00,  1.05664249E+00
  9.69696970E-01,  6.06060606E-02,  1.06053727E+00,  1.06053077E+00
  1.03030303E+00,  6.06060606E-02,  1.06444075E+00,  1.06443337E+00
  1.09090909E+00,  6.06060606E-02,  1.06835867E+00,  1.06835032E+00
  1.15151515E+00,  6.06060606E-02,  1.07229108E+00,  1.07228169E+00
  1.21212121E+00,  6.06060606E-02,  1.07623802E+00,  1.07622752E+00
  1.27272727E+00,  6.06060606E-02,  1.08019952E+00,  1.08018788E+00
  1.33333333E+00,  6.06060606E-02,  1.08417561E+00,  1.08416280E+00
  1.39393939E+00,  6.06060606E-02,  1.08816631E+00,  1.08815236E+00
  1.45454545E+00,  6.06060606E-02,  1.09217161E+00,  1.09215660E+00
  1.51515152E+00,  6.06060606E-02,  1.09619151E+00,  1.09617557E+00
  1.57575758E+00,  6.06060606E-02,  1.10022597E+00,  1.10020933E+00
  1.63636364E+00,  6.06060606E-02,  1.10427495E+00,  1.10425793E+00
  1.69696970E+00,  6.06060606E-02,  1.10833836E+00,  1.10832143E+00
  1.75757576E+00,  6.06060606E-02,  1.11241609E+00,  1.11239989E+00
  1.81818182E+00,  6.06060606E-02,  1.11650795E+00,  1.11649335E+00
  1.87878788E+00,  6.06060606E-02,  1.12061369E+00,  1.12060188E+00
  1.93939394E+00,  6.06060606E-02,  1.12473281E+00,  1.12472552E+00
  6.06060606E-02,  9.09090909E-02,  1.00552517E+00,  1.00552485E+00
  1.21212121E-01,  9.09090909E-02,  1.01108087E+00,  1.01108022E+00
  1.81818182E-01,  9.09090909E-02,  1.01666727E+00,  1.01666628E+00
  2.42424242E-01,  9.09090909E-02,  1.02228454E+00,  1.02228321E+00
  3.03030303E-01,  9.09090909E-02,  1.02793287E+00,  1.02793117E+00
  3.63636364E-01,  9.09090909E-02,  1.03361242E+00,  1.03361033E+00
  4.24242424E-01,  9.09090909E-02,  1.03932339E+00,  1.03932087E+00
  4.84848485E-01,  9.09090909E-02,  1.04506595E+00,  1.04506296E+00
  5.45454545E-01,  9.09090909E-02,  1.05084030E+00,  1.05083678E+00
  6.06060606E-01,  9.09090909E-02,  1.05664660E+00,  1.05664249E+00
  6.66666667E-01,  9.09090909E-02,  1.06248506E+00,  1.06248028E+00
  7.27272727E-01,  9.09090909E-02,  1.06835586E+00,  1.06835032E+00
  7.87878788E-01,  9.09090909E-02,  1.07425919E+00,  1.07425279E+00
  8.48484848E-01,  9.09090909E-02,  1.08019523E+00,  1.08018788E+00
  9.09090909E-01,  9.09090909E-02,  1.08616418E+00,  1.08615575E+00
  9.69696970E-01,  9.09090909E-02,  1.09216621E+00,  1.09215660E+00
  1.03030303E+00,  9.09090909E-02,  1.09820152E+00,  1.09819060E+00
  1.09090909E+00,  9.09090909E-02,  1.10427028E+00,  1.10425793E+00
  1.15151515E+00,  9.09090909E-02,  1.11037267E+00,  1.11035879E+00
  1.21212121E+00,  9.09090909E-02,  1.11650885E+00,  1.11649335E+00
  1.27272727E+00,  9.09090909E-02,  1.12267898E+00,  1.12266181E+00
  1.33333333E+00,  9.09090909E-02,  1.12888320E+00,  1.12886434E+00
  1.39393939E+00,  9.09090909E-02,  1.13512166E+00,  1.13510115E+00
  1.45454545E+00,  9.09090909E-02,  1.14139446E+00,  1.14137241E+00
  1.51515152E+00,  9.09090909E-02,  1.14770169E+00,  1.14767832E+00
  1.57575758E+00,  9.09090909E-02,  1.15404343E+00,  1.15401906E+00
  1.63636364E+00,  9.09090909E-02,  1.16041970E+00,  1.16039484E+00
  1.69696970E+00,  9.09090909E-02,  1.16683049E+00,  1.16680585E+00
  1.75757576E+00,  9.09090909E-02,  1.17327575E+00,  1.17325227E+00
  1.81818182E+00,  9.09090909E-02,  1.17975533E+00,  1.17973431E+00
  1.87878788E+00,  9.09090909E-02,  1.18626898E+00,  1.18625217E+00
  1.93939394E+00,  9.09090909E-02,  1.19281621E+00,  1.19280603E+00
  6.06060606E-02,  1.21212121E-01,  1.00737367E+00,  1.00737324E+00
  1.21212121E-01,  1.21212121E-01,  1.01480170E+00,  1.01480084E+00
  1.81818182E-01,  1.21212121E-01,  1.02228452E+00,  1.02228321E+00
  2.42424242E-01,  1.21212121E-01,  1.02982251E+00,  1.02982075E+00
  3.03030303E-01,  1.21212121E-01,  1.03741611E+00,  1.03741386E+00
  3.63636364E-01,  1.21212121E-01,  1.04506573E+00,  1.04506296E+00
  4.24242424E-01,  1.21212121E-01,  1.05277180E+00,  1.05276846E+00
  4.84848485E-01,  1.21212121E-01,  1.06053473E+00,  1.06053077E+00
  5.45454545E-01,  1.21212121E-01,  1.06835497E+00,  1.06835032E+00
  6.06060606E-01,  1.21212121E-01,  1.07623296E+00,  1.07622752E+00
  6.66666667E-01,  1.21212121E-01,  1.08416912E+00,  1.08416280E+00
  7.27272727E-01,  1.21212121E-01,  1.09216390E+00,  1.09215660E+00
  7.87878788E-01,  1.21212121E-01,  1.10021775E+00,  1.10020933E+00
  8.48484848E-01,  1.21212121E-01,  1.10833111E+00,  1.10832143E+00
  9.09090909E-01,  1.21212121E-01,  1.11650444E+00,  1.11649335E+00
  9.69696970E-01,  1.21212121E-01,  1.12473816E+00,  1.12472552E+00
  1.03030303E+00,  1.21212121E-01,  1.13303274E+00,  1.13301839E+00
  1.09090909E+00,  1.21212121E-01,  1.14138862E+00,  1.14137241E+00
  1.15151515E+00,  1.21212121E-01,  1.14980622E+00,  1.14978802E+00
  1.21212121E+00,  1.21212121E-01,  1.15828599E+00,  1.15826568E+00
  1.27272727E+00,  1.21212121E-01,  1.16682833E+00,  1.16680585E+00
  1.33333333E+00,  1.21212121E-01,  1.17543366E+00,  1.17540899E+00
  1.39393939E+00,  1.21212121E-01,  1.18410237E+00,  1.18407556E+00
  1.45454545E+00,  1.21212121E-01,  1.19283482E+00,  1.19280603E+00
  1.51515152E+00,  1.21212121E-01,  1.20163135E+00,  1.20160087E+00
  1.57575758E+00,  1.21212121E-01,  1.21049227E+00,  1.21046056E+00
  1.63636364E+00,  1.21212121E-01,  1.21941785E+00,  1.21938558E+00
  1.69696970E+00,  1.21212121E-01,  1.22840831E+00,  1.22837640E+00
  1.75757576E+00,  1.21212121E-01,  1.23746379E+00,  1.23743351E+00
  1.81818182E+00,  1.21212121E-01,  1.24658437E+00,  1.24655740E+00
  1.87878788E+00,  1.21212121E-01,  1.25576996E+00,  1.25574857E+00
  1.93939394E+00,  1.21212121E-01,  1.26502028E+00,  1.26500750E+00
  6.06060606E-02,  1.51515152E-01,  1.00922556E+00,  1.00922503E+00
  1.21212121E-01,  1.51515152E-01,  1.01853623E+00,  1.01853516E+00
  1.81818182E-01,  1.51515152E-01,  1.02793279E+00,  1.02793117E+00
  2.42424242E-01,  1.51515152E-01,  1.03741606E+00,  1.03741386E+00
  3.03030303E-01,  1.51515152E-01,  1.04698683E+00,  1.04698403E+00
  3.63636364E-01,  1.51515152E-01,  1.05664593E+00,  1.05664249E+00
  4.24242424E-01,  1.51515152E-01,  1.06639418E+00,  1.06639005E+00
  4.84848485E-01,  1.51515152E-01,  1.07623243E+00,  1.07622752E+00
  5.45454545E-01,  1.51515152E-01,  1.08616151E+00,  1.08615575E+00
  6.06060606E-01,  1.51515152E-01,  1.09618229E+00,  1.09617557E+00
  6.66666667E-01,  1.51515152E-01,  1.10629562E+00,  1.10628782E+00
  7.27272727E-01,  1.51515152E-01,  1.11650237E+00,  1.11649335E+00
  7.87878788E-01,  1.51515152E-01,  1.12680343E+00,  1.12679303E+00
  8.48484848E-01,  1.51515152E-01,  1.13719966E+00,  1.13718773E+00
  9.09090909E-01,  1.51515152E-01,  1.14769197E+00,  1.14767832E+00
  9.69696970E-01,  1.51515152E-01,  1.15828124E+00,  1.15826568E+00
  1.03030303E+00,  1.51515152E-01,  1.16896836E+00,  1.16895071E+00
  1.09090909E+00,  1.51515152E-01,  1.17975424E+00,  1.17973431E+00
  1.15151515E+00,  1.51515152E-01,  1.19063975E+00,  1.19061740E+00
  1.21212121E+00,  1.51515152E-01,  1.20162580E+00,  1.20160087E+00
  1.27272727E+00,  1.51515152E-01,  1.21271325E+00,  1.21268567E+00
  1.33333333E+00,  1.51515152E-01,  1.22390297E+00,  1.22387273E+00
  1.39393939E+00,  1.51515152E-01,  1.23519582E+00,  1.23516299E+00
  1.45454545E+00,  1.51515152E-01,  1.24659262E+00,  1.24655740E+00
  1.51515152E+00,  1.51515152E-01,  1.25809417E+00,  1.25805693E+00
  1.57575758E+00,  1.51515152E-01,  1.26970123E+00,  1.26966254E+00
  1.63636364E+00,  1.51515152E-01,  1.28141452E+00,  1.28137521E+00
  1.69696970E+00,  1.51515152E-01,  1.29323471E+00,  1.29319593E+00
  1.75757576E+00,  1.51515152E-01,  1.30516238E+00,  1.30512570E+00
  1.81818182E+00,  1.51515152E-01,  1.31719803E+00,  1.31716552E+00
  1.87878788E+00,  1.51515152E-01,  1.32934203E+00,  1.32931641E+00
  1.93939394E+00,  1.51515152E-01,  1.34159455E+00,  1.34157939E+00
  6.06060606E-02,  1.81818182E-01,  1.01108086E+00,  1.01108022E+00
  1.21212121E-01,  1.81818182E-01,  1.02228449E+00,  1.02228321E+00
  1.81818182E-01,  1.81818182E-01,  1.03361227E+00,  1.03361033E+00
  2.42424242E-01,  1.81818182E-01,  1.04506558E+00,  1.04506296E+00
  3.03030303E-01,  1.81818182E-01,  1.05664582E+00,  1.05664249E+00
  3.63636364E-01,  1.81818182E-01,  1.06835441E+00,  1.06835032E+00
  4.24242424E-01,  1.81818182E-01,  1.08019279E+00,  1.08018788E+00
  4.84848485E-01,  1.81818182E-01,  1.09216242E+00,  1.09215660E+00
  5.45454545E-01,  1.81818182E-01,  1.10426477E+00,  1.10425793E+00
  6.06060606E-01,  1.81818182E-01,  1.11650132E+00,  1.11649335E+00
  6.66666667E-01,  1.81818182E-01,  1.12887358E+00,  1.12886434E+00
  7.27272727E-01,  1.81818182E-01,  1.14138308E+00,  1.14137241E+00
  7.87878788E-01,  1.81818182E-01,  1.15403135E+00,  1.15401906E+00
  8.48484848E-01,  1.81818182E-01,  1.16681995E+00,  1.16680585E+00
  9.09090909E-01,  1.81818182E-01,  1.17975043E+00,  1.17973431E+00
  9.69696970E-01,  1.81818182E-01,  1.19282439E+00,  1.19280603E+00
  1.03030303E+00,  1.81818182E-01,  1.20604339E+00,  1.20602258E+00
  1.09090909E+00,  1.81818182E-01,  1.21940905E+00,  1.21938558E+00
  1.15151515E+00,  1.81818182E-01,  1.23292297E+00,  1.23289664E+00
  1.21212121E+00,  1.81818182E-01,  1.24658674E+00,  1.24655740E+00
  1.27272727E+00,  1.81818182E-01,  1.26040197E+00,  1.26036953E+00
  1.33333333E+00,  1.81818182E-01,  1.27437026E+00,  1.27433470E+00
  1.39393939E+00,  1.81818182E-01,  1.28849319E+00,  1.28845461E+00
  1.45454545E+00,  1.81818182E-01,  1.30277232E+00,  1.30273097E+00
  1.51515152E+00,  1.81818182E-01,  1.31720921E+00,  1.31716552E+00
  1.57575758E+00,  1.81818182E-01,  1.33180534E+00,  1.33176000E+00
  1.63636364E+00,  1.81818182E-01,  1.34656219E+00,  1.34651620E+00
  1.69696970E+00,  1.81818182E-01,  1.36148118E+00,  1.36143589E+00
  1.75757576E+00,  1.81818182E-01,  1.37656362E+00,  1.37652090E+00
  1.81818182E+00,  1.81818182E-01,  1.39181079E+00,  1.39177305E+00
  1.87878788E+00,  1.81818182E-01,  1.40722379E+00,  1.40719420E+00
  1.93939394E+00,  1.81818182E-01,  1.42280361E+00,  1.42278623E+00
  6.06060606E-02,  2.12121212E-01,  1.01293956E+00,  1.01293882E+00
  1.21212121E-01,  2.12121212E-01,  1.02604654E+00,  1.02604506E+00
  1.81818182E-01,  2.12121212E-01,  1.03932312E+00,  1.03932087E+00
  2.42424242E-01,  2.12121212E-01,  1.05277149E+00,  1.05276846E+00
  3.03030303E-01,  2.12121212E-01,  1.06639389E+00,  1.06639005E+00
  3.63636364E-01,  2.12121212E-01,  1.08019260E+00,  1.08018788E+00
  4.24242424E-01,  2.12121212E-01,  1.09416991E+00,  1.09416424E+00
  4.84848485E-01,  2.12121212E-01,  1.10832815E+00,  1.10832143E+00
  5.45454545E-01,  2.12121212E-01,  1.12266968E+00,  1.12266181E+00
  6.06060606E-01,  2.12121212E-01,  1.13719689E+00,  1.13718773E+00
  6.66666667E-01,  2.12121212E-01,  1.15191222E+00,  1.15190160E+00
  7.27272727E-01,  2.12121212E-01,  1.16681811E+00,  1.16680585E+00
  7.87878788E-01,  2.12121212E-01,  1.18191705E+00,  1.18190294E+00
  8.48484848E-01,  2.12121212E-01,  1.19721155E+00,  1.19719538E+00
  9.09090909E-01,  2.12121212E-01,  1.21270415E+00,  1.21268567E+00
  9.69696970E-01,  2.12121212E-01,  1.22839742E+00,  1.22837640E+00
  1.03030303E+00,  2.12121212E-01,  1.24429397E+00,  1.24427014E+00
  1.09090909E+00,  2.12121212E-01,  1.26039639E+00,  1.26036953E+00
  1.15151515E+00,  2.12121212E-01,  1.27670734E+00,  1.27667723E+00
  1.21212121E+00,  2.12121212E-01,  1.29322947E+00,  1.29319593E+00
  1.27272727E+00,  2.12121212E-01,  1.30996543E+00,  1.30992836E+00
  1.33333333E+00,  2.12121212E-01,  1.32691791E+00,  1.32687729E+00
  1.39393939E+00,  2.12121212E-01,  1.34408956E+00,  1.34404552E+00
  1.45454545E+00,  2.12121212E-01,  1.36148307E+00,  1.36143589E+00
  1.51515152E+00,  2.12121212E-01,  1.37910108E+00,  1.37905127E+00
  1.57575758E+00,  2.12121212E-01,  1.39694622E+00,  1.39689457E+00
  1.63636364E+00,  2.12121212E-01,  1.41502109E+00,  1.41496874E+00
  1.69696970E+00,  2.12121212E-01,  1.43332823E+00,  1.43327677E+00
  1.75757576E+00,  2.12121212E-01,  1.45187013E+00,  1.45182168E+00
  1.81818182E+00,  2.12121212E-01,  1.47064922E+00,  1.47060654E+00
  1.87878788E+00,  2.12121212E-01,  1.48966780E+00,  1.48963446E+00
  1.93939394E+00,  2.12121212E-01,  1.50892806E+00,  1.50890858E+00
  6.06060606E-02,  2.42424242E-01,  1.01480168E+00,  1.01480084E+00
  1.21212121E-01,  2.42424242E-01,  1.02982244E+00,  1.02982075E+00
  1.81818182E-01,  2.42424242E-01,  1.04506551E+00,  1.04506296E+00
  2.42424242E-01,  2.42424242E-01,  1.06053420E+00,  1.06053077E+00
  3.03030303E-01,  2.42424242E-01,  1.07623188E+00,  1.07622752E+00
  3.63636364E-01,  2.42424242E-01,  1.09216193E+00,  1.09215660E+00
  4.24242424E-01,  2.42424242E-01,  1.10832783E+00,  1.10832143E+00
  4.84848485E-01,  2.42424242E-01,  1.12473309E+00,  1.12472552E+00
  5.45454545E-01,  2.42424242E-01,  1.14138127E+00,  1.14137241E+00
  6.06060606E-01,  2.42424242E-01,  1.15827599E+00,  1.15826568E+00
  6.66666667E-01,  2.42424242E-01,  1.17542093E+00,  1.17540899E+00
  7.27272727E-01,  2.42424242E-01,  1.19281980E+00,  1.19280603E+00
  7.87878788E-01,  2.42424242E-01,  1.21047639E+00,  1.21046056E+00
  8.48484848E-01,  2.42424242E-01,  1.22839453E+00,  1.22837640E+00
  9.09090909E-01,  2.42424242E-01,  1.24657811E+00,  1.24655740E+00
  9.69696970E-01,  2.42424242E-01,  1.26503106E+00,  1.26500750E+00
  1.03030303E+00,  2.42424242E-01,  1.28375736E+00,  1.28373068E+00
  1.09090909E+00,  2.42424242E-01,  1.30276104E+00,  1.30273097E+00
  1.15151515E+00,  2.42424242E-01,  1.32204618E+00,  1.32201249E+00
  1.21212121E+00,  2.42424242E-01,  1.34161690E+00,  1.34157939E+00
  1.27272727E+00,  2.42424242E-01,  1.36147734E+00,  1.36143589E+00
  1.33333333E+00,  2.42424242E-01,  1.38163169E+00,  1.38158629E+00
  1.39393939E+00,  2.42424242E-01,  1.40208415E+00,  1.40203493E+00
  1.45454545E+00,  2.42424242E-01,  1.42283894E+00,  1.42278623E+00
  1.51515152E+00,  2.42424242E-01,  1.44390029E+00,  1.44384466E+00
  1.57575758E+00,  2.42424242E-01,  1.46527242E+00,  1.46521478E+00
  1.63636364E+00,  2.42424242E-01,  1.48695957E+00,  1.48690119E+00
  1.69696970E+00,  2.42424242E-01,  1.50896590E+00,  1.50890858E+00
  1.75757576E+00,  2.42424242E-01,  1.53129559E+00,  1.53124169E+00
  1.81818182E+00,  2.42424242E-01,  1.55395273E+00,  1.55390536E+00
  1.87878788E+00,  2.42424242E-01,  1.57694137E+00,  1.57690447E+00
